,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
23,mol_04,Family.P6O,0,SMD,water,94,-638.696295612514,0.000125434523288848,-638.733693915633,3.35869521625308,5.67202482125119,-638.695185580878,0.000123993228814628,-638.732154162049,3.35263161379626,6.325463250846,-638.688964348354,0.000127589764494802,-638.727005236638,3.35291739861724,5.06060713094356
24,mol_05,Family.P6O,0,SMD,water,102,-638.696219883256,0.000124176935404379,-638.733243236547,3.90906619344877,6.24124227717103,-638.693928662493,0.000125874422869491,-638.731458121672,3.90708383663575,6.70056991332027,-638.690781181871,0.000122558283361979,-638.727321934055,3.90682746743321,4.90011177372185
25,mol_06,Family.P6O,0,SMD,water,94,-638.69595770447,0.000128530143562459,-638.734278966773,3.30938634451751,5.30926975395759,-638.696664721753,0.000120637968529596,-638.73263293207,3.30412313119527,6.51924906553981,-638.68986672917,0.00012245699277622,-638.726377281566,3.3393541729491,5.1046427465778
26,mol_07,Family.P6O,0,SMD,water,140,-638.697602605284,0.000120808675658546,-638.733621711931,4.27088593761179,6.11374377547943,-638.69673181803,0.000122539669716047,-638.733267020556,4.47019670139806,5.56748370104358,-638.688945703419,0.000121787143474085,-638.725256540246,4.46329851960169,5.50306521710668
27,mol_08,Family.P6O,0,SMD,water,108,-638.696113494932,0.000123888505294208,-638.733050852786,4.06365081473454,6.02069399149063,-638.699921926135,0.000120042649464133,-638.735712642073,4.04689968745396,4.86803167798092,-638.688848031112,0.000122442468158455,-638.725354252994,4.05597930895716,5.37558941130773
28,mol_09,Family.P6O,0,SMD,water,130,-638.69910740917,0.000118699472094329,-638.734497656775,4.05360238562121,5.50867196318047,-638.696490117631,0.000121472292765499,-638.732707081719,4.04179844872025,5.46736159312519,-638.684721243654,0.000122787121544826,-638.721330223942,4.04648431523771,6.8170365150055
29,mol_10,Family.P6O,0,SMD,water,130,-638.701946435929,0.000111475082697009,-638.735182731835,4.15849693645756,5.40359086741025,-638.700237497222,0.00011509960428784,-638.73455444424,4.15948736569253,5.13236889176283,-638.687976866283,0.000125012451842303,-638.7252493288,4.1554028769963,5.90410966660255
30,mol_11,Family.P6O,1,SMD,water,94,-638.699855688077,0.000119443830672544,-638.735467866192,3.37117869152738,6.07717903063474,-638.698792453433,0.000126555333782168,-638.7365249262,3.36471247648976,6.34007905101203,-638.692847202701,0.000120223733050622,-638.728691908711,3.36473446951686,5.17977438204879
31,mol_12,Family.P6O,0,SMD,water,92,-638.697057113131,0.00011967105457809,-638.732737038053,3.32624556746905,5.37929018952084,-638.698489371222,0.000119787521676794,-638.73420402081,3.31155693327745,4.72917508433004,-638.691842692767,0.000123877729662468,-638.728776837866,3.34211946784126,4.88422083239028
32,mol_13,Family.P6O,0,SMD,water,84,-638.696425755285,0.000122479563651443,-638.732943037188,3.28493202778644,5.26330342513988,-638.696729549203,0.000127710452173027,-638.734806420518,3.29640792953713,4.98881393565519,-638.695913113069,0.000127312008879254,-638.733871188516,3.3426060991272,5.0488118322431
