compound,E_ox_exp_water,E_ox_exp_acetonitrile
2,740,850
3,805,924
4,817,1063
6,825,877
11,892,
12,918,1034
13,795,
15,870,976
18,814,
23,,1045
24,,1095
25,,990
26,,1030
27,,1023
33,,1123
36,,1010
51,,1102
54,,1096
55,,1175
56,867,
57,853,
58,955,1073
59,,1109
60,,1099
61,,996
