id,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
38,mol_19,Family.P5O,0,SMD,water,132,-424.626397152184,4.9243550959932E-05,-424.641079116903,4.20439476310829,5.38810573129624,-214.061735234835,6.46314100926507E-05,-214.081005089754,4.19188068754572,5.42929334000609,-214.067792299687,6.60539374063571E-05,-214.087486281124,4.32615950086574,5.2588759714272
39,mol_20,Family.P5O,0,SMD,water,122,-424.617904783622,5.29181802915042E-05,-424.633682339076,3.80572575679746,4.57772005807663,-214.056867454597,5.85553164140237E-05,-214.074325722186,3.80755147565832,5.52500995046886,-214.06554664385,6.61073736243724E-05,-214.085256557296,3.81211340901852,4.90172270740289
40,mol_21,Family.P5O,1,SMD,water,86,-424.632208928141,5.67365613538328E-05,-424.649124933909,3.26833966762406,4.28365582981637,-214.066000849377,6.45403877647478E-05,-214.085243565989,3.23921612308815,5.33960202722909,-214.068278540646,6.82767883366213E-05,-214.088635265088,3.23350715583864,5.32160649709281
41,mol_22,Family.P5O,0,SMD,water,78,-424.62832812758,6.19868624667538E-05,-424.646809510625,3.23684041339757,3.94395038243071,-214.067053492642,6.33898262514215E-05,-214.085953169339,3.22926600741787,4.5344697376071,-214.068521616326,6.54069190686468E-05,-214.088022689247,3.17900656632826,4.40465129565436
42,mol_23,Family.IIO,0,SMD,water,102,-424.62827872757,6.38419940999761E-05,-424.647313218111,3.60003256980425,4.51911555649985,-214.06745755708,6.26832794928197E-05,-214.086146576861,3.60389065500414,5.73643707981189,-214.071855805821,6.36464386639298E-05,-214.090831991509,3.61874055725326,4.78225294951682
43,mol_24,Family.IIO,0,SMD,water,124,-424.629865376693,5.82711568337668E-05,-424.647238922104,4.5780588711069,4.60203477360872,-214.067640232319,6.70897123204911E-05,-214.087643030048,4.57531548290755,6.74778298467111,-214.073854813629,5.91013545517982E-05,-214.091475882489,4.61712714435498,4.80343405567385
44,mol_25,Family.IIO,0,SMD,water,110,-424.629686873768,5.87255558309342E-05,-424.647195898239,4.04528514790856,4.2447542818522,-214.067830392854,6.67813761083295E-05,-214.08774126014,4.01832808569626,6.15042375451002,-214.072584048928,6.16135303271655E-05,-214.090954122995,4.0135152665075,4.77235095696489
45,mol_26,Family.IIO,0,SMD,water,118,-424.629784890781,5.36279953817844E-05,-424.645774077604,4.64707141960437,4.66363566691227,-214.067194335714,6.44981668137432E-05,-214.086424464149,4.65879695341169,6.6645572084117,-214.072030616795,0.0000629690869253999,-214.090804850062,4.68663430420182,4.67000638106698
46,mol_27,Family.IIO,0,SMD,water,110,-424.629485332619,6.16903468464977E-05,-424.647878309531,3.94413723237339,4.22702219862773,-214.067838663679,6.56397914779786E-05,-214.087409167508,3.9390331485716,5.87663272226177,-214.071737982086,6.2211378499681E-05,-214.090286304586,3.98019933445928,4.67798470043207
47,mol_28,Family.IIO,0,SMD,water,156,-424.630807340156,5.98698359844313E-05,-424.648657531755,5.00972614999887,5.18837219807175,-214.068081329866,6.48806401561212E-05,-214.087425492728,5.00429743949111,7.07162233725153,-214.074399962763,5.90556952709345E-05,-214.092007418308,5.06679797193711,5.76343767465449
