name,family,z,hammet,r,px,Qxx,method,has_cation,has_anion,solvent_model,solvent,E_ox,E_red,r_ox,r_rad,r_red
mol_11,Family.P6O,1,0.6,2.847,,,wB97XD/6-311+G(d),False,False,SMD,water,5.29085005313191,3.10151151499027,3.37117869152738,3.36471247648976,3.36473446951686
mol_12,Family.P6O,0,0.5,2.833,3.2454,-1.9312,wB97XD/6-311+G(d),False,False,SMD,water,5.29985724101361,3.13809039347077,3.32624556746905,3.31155693327745,3.34211946784126
mol_13,Family.P6O,0,,2.802,0.1552,0.8675,wB97XD/6-311+G(d),False,False,SMD,water,5.14126506851269,2.98488224958122,3.28493202778644,3.29640792953713,3.3426060991272
mol_14,Family.P5O,0,,2.201,-0.0494,-0.0388,wB97XD/6-311+G(d),False,False,SMD,water,5.0838060199177,2.83514476131382,3.27382959619082,3.27473202482638,3.23709229101814
mol_15,Family.P5O,0,0.37,2.198,0.7393,2.9804,wB97XD/6-311+G(d),False,False,SMD,water,5.25613168987961,2.95109533420483,3.5736688630572,3.81647135307056,3.73778571603481
mol_16,Family.P5O,0,-0.16,2.202,1.0577,-3.1403,wB97XD/6-311+G(d),False,False,SMD,water,5.15052573114411,2.88543991021977,3.26773570594221,3.26347554063171,3.23586999801747
mol_17,Family.P5O,0,0.12,2.206,-0.8323,1.4652,wB97XD/6-311+G(d),False,False,SMD,water,5.12582178917903,2.91132540352962,3.46851203682025,3.48298113621032,3.84970381559947
mol_18,Family.P5O,0,0.12,2.209,-0.0854,0.1407,wB97XD/6-311+G(d),False,False,SMD,water,5.15185285791787,2.94575201343944,3.2499184472394,3.24821698195264,3.2356821276325
mol_19,Family.P5O,0,0.37,2.196,0.8692,1.6881,wB97XD/6-311+G(d),False,False,SMD,water,5.11514722036136,2.75664278577109,4.20439476310829,4.19188068754572,4.32615950086574
mol_20,Family.P5O,0,,2.195,1.9585,0.4714,wB97XD/6-311+G(d),False,False,SMD,water,5.333597888841,3.03287850510413,3.80572575679746,3.80755147565832,3.81211340901852
mol_21,Family.P5O,1,0.86,2.211,,,wB97XD/6-311+G(d),False,False,SMD,water,5.28198677197726,3.17043575344214,3.26833966762406,3.23921612308815,3.23350715583864
mol_22,Family.P5O,0,,2.149,1.5678,-0.329,wB97XD/6-311+G(d),False,False,SMD,water,5.34763447044244,3.09663551585633,3.23684041339757,3.22926600741787,3.17900656632826
mol_23,Family.IIO,0,,2.186,0.4422,3.6909,wB97XD/6-311+G(d),False,False,SMD,water,5.2677034047188,2.95630285333333,3.60003256980425,3.60389065500414,3.61874055725326
